% Age (Ma)         ecc            prec           obl
  -66395.000       0.013561      -0.013144       0.403010
  -66390.000       0.010851      -0.002938       0.411634
  -66385.000       0.007626       0.007301       0.414444
  -66380.000       0.003993       0.000891       0.410311
  -66375.000       0.001287      -0.000701       0.402123
  -66370.000       0.004067       0.003358       0.394781
  -66365.000       0.007771      -0.005056       0.392890
  -66360.000       0.011627      -0.008804       0.397935
  -66355.000       0.015410       0.009348       0.407179
  -66350.000       0.019130       0.016174       0.415196
  -66345.000       0.022776      -0.010174       0.416787
  -66340.000       0.026322      -0.024559       0.410055
  -66335.000       0.029545       0.008619       0.398019
  -66330.000       0.032300       0.031226       0.388258
  -66325.000       0.034345      -0.008212       0.388398
  -66320.000       0.035734      -0.034944       0.399133
  -66315.000       0.036187       0.005171       0.413166
  -66310.000       0.035548       0.035513       0.421099
  -66305.000       0.033775       0.002248       0.418172
  -66300.000       0.031178      -0.030698       0.406513
  -66295.000       0.027707      -0.007756       0.393747
  -66290.000       0.023746       0.021710       0.388204
  -66285.000       0.019905       0.011587       0.392518
  -66280.000       0.017226      -0.010018       0.402566
  -66275.000       0.016615      -0.016337       0.411570
  -66270.000       0.018548      -0.004570       0.415166
  -66265.000       0.022011       0.018407       0.412776
  -66260.000       0.026286       0.019078       0.406107
  -66255.000       0.030606      -0.017263       0.398625
  -66250.000       0.034725      -0.030777       0.394139
  -66245.000       0.038304       0.014301       0.395258
  -66240.000       0.041438       0.039772       0.401733
  -66235.000       0.044056      -0.007714       0.409662
  -66230.000       0.046241      -0.046173       0.413746
  -66225.000       0.047801      -0.003055       0.410706
  -66220.000       0.048756       0.048117       0.402193
  -66215.000       0.049058       0.011294       0.394345
  -66210.000       0.048612      -0.046616       0.393629
  -66205.000       0.047171      -0.016128       0.401097
  -66200.000       0.044770       0.040587       0.410892
  -66195.000       0.041410       0.021498       0.415631
  -66190.000       0.037174      -0.029115       0.411891
  -66185.000       0.032143      -0.023121       0.402365
  -66180.000       0.026753       0.015489       0.393879
  -66175.000       0.021708       0.019909       0.392159
  -66170.000       0.018037      -0.001325       0.397819
  -66165.000       0.017011      -0.015791       0.406265
  -66160.000       0.018975      -0.013914       0.412520
  -66155.000       0.022715       0.009381       0.414105
  -66150.000       0.027179       0.026596       0.410844
  -66145.000       0.031413      -0.001916       0.404445
  -66140.000       0.035023      -0.034991       0.397312
  -66135.000       0.037747      -0.004193       0.392679
  -66130.000       0.039622       0.039092       0.393747
  -66125.000       0.040734       0.008813       0.400982
  -66120.000       0.041088      -0.039352       0.410702
  -66115.000       0.040752      -0.015073       0.416768
  -66110.000       0.039779       0.035477       0.414940
  -66105.000       0.038305       0.019722       0.405942
  -66100.000       0.036209      -0.030257       0.395767
  -66095.000       0.033569      -0.018682       0.391815
  -66090.000       0.030464       0.025355       0.396440
  -66085.000       0.026916       0.014942       0.405229
  -66080.000       0.022758      -0.018931       0.411275
  -66075.000       0.018273      -0.009681       0.411110
  -66070.000       0.013686       0.012288       0.406422
  -66065.000       0.009483       0.002046       0.401563
  -66060.000       0.006447      -0.006124       0.399773
  -66055.000       0.006580       0.005814       0.400850
  -66050.000       0.009212       0.000183       0.402942
  -66045.000       0.012102      -0.011830       0.404798
  -66040.000       0.014693       0.005071       0.406226
  -66035.000       0.016623       0.014958       0.407054
  -66030.000       0.017808      -0.008992       0.405987
  -66025.000       0.018210      -0.014834       0.402479
  -66020.000       0.018039       0.011950       0.398326
  -66015.000       0.017575       0.011485       0.397273
  -66010.000       0.016856      -0.014298       0.401741
  -66005.000       0.016398      -0.006258       0.409226
  -66000.000       0.016389       0.015967       0.414060
  -65995.000       0.017097       0.001239       0.411913
  -65990.000       0.018483      -0.018427       0.403628
  -65985.000       0.020538       0.004319       0.395078
  -65980.000       0.023092       0.021877       0.392603
  -65975.000       0.025839      -0.010184       0.397720
  -65970.000       0.028691      -0.025871       0.405917
  -65965.000       0.031451       0.013822       0.411589
  -65960.000       0.033917       0.030574       0.412328
  -65955.000       0.035754      -0.015147       0.409260
  -65950.000       0.036968      -0.033582       0.404908
  -65945.000       0.037280       0.015444       0.400698
  -65940.000       0.036607       0.033336       0.397360
  -65935.000       0.034722      -0.014332       0.396016
  -65930.000       0.031770      -0.029036       0.398457
  -65925.000       0.027652       0.010459       0.404713
  -65920.000       0.022583       0.021502       0.411477
  -65915.000       0.016793      -0.002810       0.414089
  -65910.000       0.010972      -0.010885       0.409986
  -65905.000       0.006974      -0.005268       0.401689
  -65900.000       0.009315      -0.001851       0.395211
  -65895.000       0.015305       0.012921       0.395382
  -65890.000       0.022031       0.014648       0.401478
  -65885.000       0.028489      -0.019040       0.407940
  -65880.000       0.034471      -0.027753       0.410044
  -65875.000       0.039755       0.020824       0.407209
  -65870.000       0.044439       0.039350       0.402700
  -65865.000       0.048333      -0.020010       0.400296
  -65860.000       0.051561      -0.048057       0.400921
  -65855.000       0.053980       0.016547       0.403060
  -65850.000       0.055595       0.053888       0.404930
  -65845.000       0.056281      -0.010317       0.406080
  -65840.000       0.056020      -0.055623       0.406651
  -65835.000       0.054633       0.002968       0.406100
  -65830.000       0.052144       0.052141       0.403488
  -65825.000       0.048486       0.003374       0.399316
  -65820.000       0.043637      -0.043290       0.396583
  -65815.000       0.037665      -0.007167       0.398565
  -65810.000       0.030969       0.029581       0.405445
  -65805.000       0.023917       0.011307       0.412822
  -65800.000       0.017462      -0.011595       0.414963
  -65795.000       0.013911      -0.013785       0.409689
  -65790.000       0.015764      -0.007625       0.399751
  -65785.000       0.021456       0.013727       0.392036
  -65780.000       0.028409       0.024840       0.392050
  -65775.000       0.035090      -0.013414       0.399286
  -65770.000       0.041007      -0.039239       0.408510
  -65765.000       0.045996       0.009296       0.413913
  -65760.000       0.049950       0.049622       0.413444
  -65755.000       0.052732      -0.001987       0.408467
  -65750.000       0.054386      -0.054371       0.401913
  -65745.000       0.055011      -0.003712       0.396681
  -65740.000       0.054655       0.054358       0.394667
  -65735.000       0.053375       0.007400       0.396919
  -65730.000       0.051141      -0.050311       0.402835
  -65725.000       0.048141      -0.011149       0.409807
  -65720.000       0.044277       0.042314       0.413745
  -65715.000       0.039586       0.013956       0.411604
  -65710.000       0.034012      -0.031291       0.404101
  -65705.000       0.027837      -0.011168       0.395913
  -65700.000       0.020994       0.019360       0.393399
  -65695.000       0.013633       0.004799       0.398574
  -65690.000       0.006038      -0.005881       0.407268
  -65685.000       0.002353       0.002254       0.412885
  -65680.000       0.009216      -0.006851       0.411263
  -65675.000       0.016072      -0.009991       0.404152
  -65670.000       0.022287       0.017807       0.396999
  -65665.000       0.027472       0.015810       0.395110
  -65660.000       0.031592      -0.026270       0.399546
  -65655.000       0.034558      -0.018916       0.406371
  -65650.000       0.036325       0.030191       0.411259
  -65645.000       0.036868       0.020956       0.411627
  -65640.000       0.036255      -0.029707       0.407633
  -65635.000       0.034887      -0.019684       0.401345
  -65630.000       0.032697       0.027564       0.395569
  -65625.000       0.029897       0.014620       0.393669
  -65620.000       0.026729      -0.024316       0.397313
  -65615.000       0.023694      -0.007662       0.405546
  -65610.000       0.020879       0.020441       0.414015
  -65605.000       0.018820       0.000636       0.417260
  -65600.000       0.018204      -0.017876       0.412535
  -65595.000       0.019191       0.007935       0.401573
  -65590.000       0.021416       0.016965       0.391184
  -65585.000       0.024544      -0.018470       0.388584
  -65580.000       0.028136      -0.015454       0.395745
  -65575.000       0.031465       0.027518       0.407781
  -65570.000       0.034321       0.015729       0.416595
  -65565.000       0.036492      -0.032543       0.417418
  -65560.000       0.037832      -0.017111       0.410305
  -65555.000       0.037876       0.034085       0.400083
  -65550.000       0.036734       0.014835       0.393085
  -65545.000       0.034476      -0.032082       0.392959
  -65540.000       0.030978      -0.010661       0.399230
  -65535.000       0.026335       0.024780       0.407275
  -65530.000       0.020793       0.007162       0.412574
  -65525.000       0.014714      -0.013816       0.412386
  -65520.000       0.008044      -0.002290       0.407001
  -65515.000       0.001884       0.001546       0.399995
  -65510.000       0.006658      -0.004844       0.395429
  -65505.000       0.013521       0.010406       0.396576
  -65500.000       0.020349       0.012680       0.402855
  -65495.000       0.026928      -0.020571       0.409916
  -65490.000       0.033176      -0.022886       0.413233
  -65485.000       0.038918       0.026373       0.410100
  -65480.000       0.044190       0.033993       0.402175
  -65475.000       0.048924      -0.030097       0.394505
  -65470.000       0.052934      -0.042313       0.392552
  -65465.000       0.055884       0.032702       0.398484
  -65460.000       0.057834       0.048194       0.408569
  -65455.000       0.058682      -0.029412       0.416343
  -65450.000       0.058224      -0.052384       0.416648
  -65445.000       0.056253       0.021247       0.408921
  -65440.000       0.052870       0.049783       0.397611
  -65435.000       0.048229      -0.015145       0.389707
  -65430.000       0.042237      -0.040490       0.390719
  -65425.000       0.035280       0.007787       0.399631
  -65420.000       0.027732       0.027620       0.410782
  -65415.000       0.020352       0.003191       0.417516
  -65410.000       0.014270      -0.011552       0.416449
  -65405.000       0.012681      -0.012417       0.409089
  -65400.000       0.016699      -0.006246       0.399181
  -65395.000       0.023221       0.018213       0.392369
  -65390.000       0.030161       0.022067       0.392245
  -65385.000       0.036733      -0.022052       0.398310
  -65380.000       0.042586      -0.036438       0.407302
  -65375.000       0.047685       0.020395       0.413954
  -65370.000       0.052044       0.049081       0.414688
  -65365.000       0.055638      -0.013669       0.409064
  -65360.000       0.058274      -0.057326       0.400185
  -65355.000       0.059937       0.008312       0.393997
  -65350.000       0.060564       0.060201       0.394914
  -65345.000       0.060119      -0.004383       0.402315
  -65340.000       0.058464      -0.058455       0.410439
  -65335.000       0.055642      -0.002683       0.413373
  -65330.000       0.051529       0.051222       0.409179
  -65325.000       0.046188       0.006990       0.400979
  -65320.000       0.039699      -0.039085       0.395059
  -65315.000       0.032444      -0.006435       0.395653
